id,Comment,Hate Category
958,Bajetigu odalikke takarau maduvashtu vyavadanasiddannaellava purtikeli aAmele nimmadu eddeedeyalla avasarayake nivu bandare  tidddarayitu,Political
4693,Unnata shikshana sachivanaagi Tippu bagge apaprachaara madtanalri bhosudimaga..ivnu pakkad maneyevarige. Huttidaunu.,Political
2194,Ivlu papa avr ammage respect kodalla inn mugit film ge bandre tu ivl janmakke,Gender
3073,Nin english illi yeno ankonde adre big boss alli gotaytu nin baaaaluð¤£ð¤£,Gender
1801,intha ugrarannu support maduva namma kelavobba rajakarani galannu buda didnda udees madabeku,Violence
1648,Le halaala hutida sule magane ninu bharat dli hutidiya aadre yudo mula nina amma na repe madi hutida papi kusu ninu,Gender
1785,E kitthodhavlige acting ali navarasagala bagge ne gothila allodhu anthe comedy overacting ishte new acting skills kelkoli akka athra acting kalirii thuuu nin janmakke modhlu acting andhre enu antha thilko thuuu ??????,Gender
5103,Dagar bayalli kannada beda,Gender
7761,Husulimaga,Gender
2546,kushi nijja ninna bhala olee avalu ankodidde Kane ishtu kettola ninu papa siddarth miss sir,Gender
602,Godi media modi gedia,Others
1833,Nivella 1 rupai gu value eradvru nevella soole maklu.fuck of bigboss,Others
2099,Dagar Dagar Dam Dam Dagar,Gender
1646,Lowdya Sonu,Gender
4311,Yen dodda sadane madavla evlu<br>Sule evlu<br>Papa A ????,Gender
2781,@Mallikarjun G C nindu estu ide nodkondu iru saku nange buddi illa antha heloke barbeda nanige yar ista agbeku yar ista agbardu antha nin yavano heloke .andre nim prakara ivaga nange sonu ista illa antha helidre nange buddi ide antha arthana ??,Others
1497,Lo bt v suleakla yaro avalu karkondu bandu avalanna interview madoke thu thu yhu,Others
1555,Elandru olle mental tharane adoddu ninu summne jana yake nin troll madthare antha ega gothaithu,Others
745,B tv sole makalla nemage kelsa elava evalana nema kelsake etugole janagalege yake thorusuthira mindre makalla,Others
259,Gulama evanu,Gender
3990,Ee mudi goobege bari vayassaytu aste.,Gender
1240,Tho karma yuvldu ????? est dena yallo ond kade swalpa adru papa hudgi ansodu... edunna nodudmele yuvlig yallaru madode sari ansuthe,Gender
5259,Yen evla room dodda edu anno tara inondsala nodi inondsala nodi antale ð,Gender
3428,Bevarsi nayi munde Dagar munde,Gender
247,Female yara voting akabedari e Ramesh jarakaoli,Political
3565,A muduka saku manege hogi guligi tagondu malako muduka hindutvada bagge matadtiya ninn agandastana ulsiko,Gender
853,Ri much ri Saku nivu sati sahagamana paddati yanna acharne Madi hennu makkalanna jivanta suttu hakidri addken heltira aga manaviyate yellittu dalitaranna himse madiddu nim dharma davare ondu drama movie ge hindu muslim Madi desha da shanti halu madbedi,Geo-political
1753,Nin naamma avalanna nodthiyo athva avaladu nodthiyo ??lawda ley gandu nan magane????? sonu law** Dag**sonu nin thayina keya nin mathige shata time kodthare lawda dalli nin namman yav natine ninu sule ha nim ammana degiddu yaru antha keldda ????????????????????????,Gender
2766,Bitre avr ammange hodiyo thara kanthidale,Others
1900,Enri sadane...btv andre bogalu tv,Others
6524,Sada Sonu thika muchkond kannada matadu English matadaka barala,Gender
3178,Kotnanmaga akbar huchnanmaga babar ninu sulenanmaga,Religion
7737,Yen guru naveen ul haq 1post ge 105000 comments boli maga satha hawa ????,Gender
