skeleton,variants
ll,"ella(268), illa(239), alli(217), alla(208), olle(118), yella(94), elli(33), illi(30), yalla(30), yalli(19), alle(14), yelli(13), ille(10), olleya(8), elle(6), allu(6), ello(5), yello(5), ellaa(3), alliya(3)"
nn,"ninu(208), anna(171), neenu(94), innu(89), nanu(79), anno(38), ennu(31), neen(27), naanu(27), nenu(25), nina(21), inna(19), nine(18), yannu(11), nana(10), naan(10), yenne(9), annu(7), neene(7), enne(7), enen(7), unnu(6), neena(5), nino(5), enna(5), ninuu(4), nane(4), yennu(4), nene(3), annaa(3), nayina(3)"
md,"madi(299), modi(89), maadi(80), media(41), madu(35), mado(34), mudiya(15), maadu(13), made(11), madya(9), mudi(7), maad(6), mada(5), madii(4), maado(3)"
nd,"ondu(130), nodi(126), india(77), inda(59), onde(32), nodu(25), nadu(16), enda(10), nodo(9), anda(9), node(7), endu(7), andu(5), indu(5), inde(4), anodu(3), naadu(3), enide(3), undu(3), yendu(3), nadi(3)"
vr,"avru(104), avara(84), avaru(68), avra(42), very(30), avar(27), over(26), avre(26), avare(16), ivaru(15), evaru(14), ivru(13), evara(9), every(9), yavaru(8), ivara(7), evru(6), vara(5), ivar(4), ivare(4), yavare(3)"
nth,"antha(353), intha(44), anthe(37), entha(26), yentha(13), anthu(10), intaha(8), yantha(5), anthiya(3), inthaa(3)"
nt,"anta(334), enta(24), inta(20), ante(14), aunty(11), unity(9), untu(7), unite(7), anti(6), yanta(5), antu(4), antya(4), antiya(4), nata(4), enaytu(4), yenta(4), neat(3), antaa(3), neeti(3)"
nmm,"namma(243), nimma(143), namm(38), nimm(22), nemma(3)"
dr,"adre(87), adru(65), idre(43), aadre(25), idare(23), idru(18), edare(18), aadru(16), edre(15), adare(15), adara(12), doora(10), edru(9), dari(7), idara(6), idira(6), odiri(5), edira(4), edara(4), aadare(4), edra(3), odru(3), dare(3)"
nv,"nivu(129), navu(70), neevu(68), naavu(34), neev(20), nive(16), nevu(13), novu(11), naav(8), nave(6), neeve(4), naave(3), nava(3)"
hg,"hogi(120), hage(48), hogu(33), hege(32), haage(28), heege(24), hogo(23), hige(14), hoge(10), hagi(8), hagu(7), heeg(6), haagu(4), huge(3)"
hnd,"hindu(256), hind(53), handi(16), hindi(13), hinde(8), ahinda(3)"
br,"bere(169), bari(84), broo(11), bare(11), obru(10), ebru(5), ibru(5), baree(3), baro(3)"
r,"yaru(139), yaro(35), yaaru(30), your(18), year(14), yare(10), yara(7), yaaro(7), yaar(6), yaare(3), auru(3)"
vd,"video(210), yavde(10), vedio(9), yavude(8), yavdu(7), vada(6), yavado(4), yavdo(4), yavd(3), yavade(3), vidio(3)"
st,"aste(88), estu(39), ista(22), satya(21), yestu(17), istu(17), astu(14), esta(14), este(7), esto(5), yeste(5), seat(4), aasti(4), sati(3), yast(3), yest(3)"
sl,"sule(154), soole(38), sala(23), sole(9), sulee(5), suli(4), sulu(3), sale(3), asali(3), sooli(3), sula(3), suley(3)"
nnn,"ninna(108), nanna(49), nann(33), ninn(28), ninnu(10), ninne(6), innenu(5), nenna(5), nannu(4), neenen(3)"
ndr,"andre(189), enadru(15), nodri(9), andru(9), indira(6), andare(6), andra(5), yenadru(5), nodro(4)"
gr,"guru(210), guruu(6), ugiri(6), agiro(3)"
n,"yenu(81), nayi(56), yeno(17), naayi(14), nyaya(13), yene(12), anyaya(5), yanu(5), enoo(4), naya(3), aenu(3)"
nng,"ninge(115), nange(28), ninage(26), ning(10), nanage(6), nang(5), ninag(5), ningu(5), nenge(4), nangu(3), ninaga(3)"
mv,"movie(193), move(7), movi(3), movei(3)"
bgg,"bagge(190), bigg(11), baggey(4)"
vl,"avlu(32), ivlu(31), evlu(22), avalu(22), ivalu(20), evalu(13), avala(11), aval(10), avla(8), avle(6), ival(6), evla(5), ivle(5), value(4), ivla(3), evle(3)"
