task,class,token,z,in_class,in_rest
A,Hate,thu,6.81,196,2
A,Hate,sule,5.96,152,2
A,Hate,nin,4.88,254,62
A,Hate,dagar,4.7,97,2
A,Hate,thuu,4.27,78,1
A,Hate,interview,3.72,81,8
A,Hate,nan,3.62,131,30
A,Hate,maklu,3.56,76,8
A,Hate,magane,3.53,51,0
A,Hate,munde,3.52,105,20
A,Hate,nayi,3.4,54,2
A,Hate,maga,3.38,105,22
A,Hate,janmakke,3.26,47,1
A,Hate,ninge,3.21,95,20
A,Hate,maryade,3.15,44,1
A,Non-Hate,jai,9.68,385,83
A,Non-Hate,sir,8.46,346,96
A,Non-Hate,bro,7.62,250,58
A,Non-Hate,super,6.94,161,21
A,Non-Hate,movie,5.0,144,49
A,Non-Hate,guru,4.77,151,59
A,Non-Hate,anna,4.22,122,49
A,Non-Hate,vikas,4.07,92,30
A,Non-Hate,please,3.68,51,9
A,Non-Hate,kohli,3.59,51,10
A,Non-Hate,match,3.52,53,12
A,Non-Hate,hind,3.45,45,8
A,Non-Hate,nanu,3.45,61,18
A,Non-Hate,bagge,3.15,120,70
A,Non-Hate,video,3.11,130,80
B,Gender,nin,6.55,183,59
B,Gender,dagar,6.26,95,6
B,Gender,sonu,6.2,104,12
B,Gender,amma,5.35,76,8
B,Gender,munde,3.91,72,26
B,Gender,video,3.74,57,17
B,Gender,batte,3.58,33,3
B,Gender,sule,3.29,93,56
B,Gender,thuu,3.27,45,14
B,Gender,thu,3.12,107,74
B,Gender,meghana,3.06,20,0
B,Gender,avlu,3.02,25,3
B,Gender,ninge,2.96,58,29
B,Gender,evlu,2.91,20,1
B,Gender,maglu,2.91,20,1
B,Political,bjp,10.05,147,31
B,Political,congress,9.15,114,17
B,Political,cm,5.99,56,15
B,Political,modi,4.23,30,10
B,Political,bommai,4.05,19,0
B,Political,speaker,3.72,16,0
B,Political,siddu,3.54,21,7
B,Political,ashwath,3.48,14,0
B,Political,vote,3.36,27,18
B,Political,party,3.22,15,3
B,Political,election,3.21,14,2
B,Political,budget,3.08,11,0
B,Political,govt,2.91,18,10
B,Political,politics,2.79,9,0
B,Political,mp,2.62,9,1
B,Others,tv,4.84,45,28
B,Others,bucket,4.24,28,11
B,Others,btv,4.09,39,33
B,Others,news,3.66,34,32
B,Others,interview,2.82,30,43
B,Others,channel,2.8,28,38
B,Others,lsg,2.58,7,0
B,Others,fixing,2.23,9,5
B,Others,disrespect,2.19,6,1
B,Others,film,2.09,17,25
B,Others,story,1.92,9,8
B,Others,payment,1.79,5,2
B,Others,tappu,1.78,10,12
B,Others,trp,1.72,7,6
B,Others,indian,1.72,7,6
B,Religion,muslim,8.22,101,25
B,Religion,hindu,7.93,102,33
B,Religion,muslims,5.29,37,5
B,Religion,hijab,4.38,23,1
B,Religion,islam,3.5,17,3
B,Religion,halal,3.1,12,1
B,Religion,hindugalu,2.96,12,2
B,Religion,galige,2.67,11,3
B,Religion,convert,2.65,10,2
B,Religion,caste,2.65,10,2
B,Religion,dharma,2.52,13,7
B,Religion,muslimaru,2.48,7,0
B,Religion,galu,2.37,20,22
B,Religion,college,2.34,9,3
B,Religion,sc,2.3,8,2
B,Violence,sayisbeku,2.57,6,0
B,Violence,bomb,2.44,8,4
B,Violence,taliban,2.35,5,0
B,Violence,encounter,2.16,5,1
B,Violence,mega,2.1,4,0
B,Violence,kochi,2.1,4,0
B,Violence,saysi,1.9,4,1
B,Violence,chapli,1.74,5,4
B,Violence,terrorists,1.72,4,2
B,Violence,hodedu,1.63,5,5
B,Violence,saport,1.59,3,1
B,Violence,naanu,1.58,4,3
B,Violence,odibeku,1.45,5,7
B,Violence,kodi,1.45,5,7
B,Violence,face,1.41,3,2
B,Geo-political,pakistan,5.19,36,17
B,Geo-political,kannada,3.98,37,49
B,Geo-political,tamil,2.79,11,6
B,Geo-political,kaveri,2.77,7,0
B,Geo-political,tamilians,2.77,7,0
B,Geo-political,pakistani,2.61,7,1
B,Geo-political,neer,2.42,8,4
B,Geo-political,kashmir,2.32,14,21
B,Geo-political,madrasi,2.09,4,0
B,Geo-political,namm,2.09,9,10
B,Geo-political,india,2.04,13,24
B,Geo-political,mathadi,1.99,5,2
B,Geo-political,kannadigaru,1.88,4,1
B,Geo-political,neeru,1.88,4,1
B,Geo-political,kalsi,1.86,6,5
